tweet_id;created_at;time_shift;user_screen_name;user_id;user_location;state_location;region_location;tweet_text_lenght;tweet_text
1347682699021058048;2021-01-08 23:12:48+00:00;noite;MarcoStauros;115929602;sao paulo sao paulo;São Paulo;Sudeste;322;@danielfdes1 @silviogrimaldo @flaviogordon o gov federal não tinha a obrigação de comprar nenhuma sem q houvesse um comprovação científica. fez “pré-contratos” com outras q já tinham estudos mais evoluídos. o golpe do gov de sp foi comprar essa em “parceria” com a sinovac, e depois pressionar o gov federal pra comprar...
1348368943568793600;2021-01-10 20:39:42+00:00;noite;Thadeu_Melo;16211955;invalidlocation;invalidstate;invalidregion;252;@vinivp22 @nelsonpaffi estão usando dois pesos e duas medidas. como disse as outras empresas demoram pelo menos 1 mês para divulgar detalhadamente os dados da faze 3 de suas vacinas. estão exigindo algo do butantã que não exigiram da pfizer ou moderna.
1348767525375455234;2021-01-11 23:03:31+00:00;noite;WandaMonsores;1290114605302403072;brasil vassouras;Rio de Janeiro;Sudeste;285;@carlazambelli38 @evertonsodario tem o site que mostra as estatísticas certa se for ouvir esses que são da mídia parece que morreu meio mundo sendo que além da covid19 tem outras doenças nesse site mostra nascidos,morridos e de qual foi a causa internet é pra gente se informar né 🙏🕯️📿
1346959632045113345;2021-01-06 23:19:36+00:00;noite;OLAVOFERR;1204834327;sao luis maranhao;Maranhão;Nordeste;89;@anette49447457 sem sombra de dúvidas, o melhor tratamento que existe no trato do covid19
1347274285996453890;2021-01-07 20:09:55+00:00;noite;SchutzAnder;1187727116231684096;brasil;undefinedstate;undefinedregion;55;@sputnik_brasil a mais cara e menos eficiente! por que?
1347327739209134081;2021-01-07 23:42:19+00:00;noite;diego_goess;3396198021;invalidlocation;invalidstate;invalidregion;74;@jcalebe6 @cnnbrasil pena que vc ta no 3 mundo e nao vai ter vacina pfizer
1346882162394587136;2021-01-06 18:11:46+00:00;noite;queenmonst3r;235132413;invalidlocation;invalidstate;invalidregion;60;@adamcrlh astrazeneca (oxford) é mais eficiente, vambora amô
1348417961279823872;2021-01-10 23:54:29+00:00;noite;invalid_user;invalid_user;invalidlocation;invalidstate;invalidregion;178;@o_antagonista não é ele quem tem que dizer, secretario fale menos, e haja mais. simples assim. essa bosta de vacina presta ou não. eu acredito na anvisa. https://t.co/7kp5sz0bgt
1348384607335538692;2021-01-10 21:41:56+00:00;noite;JozeRuela;1075471739445002240;sao paulo brasil;São Paulo;Sudeste;334;@antibovino @rickontherocks_ @helenrose551 @jdoriajr @anvisa_oficial @butantanoficial eu falei alguma coisa de bolsonaro?  então,  com relação ao seu presidente, ele tem um contrato com a astrazeneca para a produção de vacina em parceria com a fiocruz. está vacina inclusive está com toda a documentação na anvisa esperando aprovação.
1346594079879139329;2021-01-05 23:07:01+00:00;noite;nathan0duarte;1269838508564393984;brooklyn ny;notbrazilstate;notbrazilregion;266;@g1 qual é a necessidade de enfatizar os remédios que o cara defendia apenas para fazer um contraste com o motivo da morte dele ?????   *não sou apoiador do bolsonaro e sei que clooriquina/ivermectina não faz efeito para combater o coronavirus não precisa me ensinar
