classifier,oversampling,undersampling,classification_report,f_score_news,f_score_opinion,f_score_fake
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.63      0.48      0.54        84
     opinion       0.76      0.94      0.84       229
   fake_news       0.57      0.17      0.26        47

    accuracy                           0.73       360
   macro avg       0.66      0.53      0.55       360
weighted avg       0.71      0.73      0.70       360
",0.5442176870748299,0.83984375,0.2622950819672131
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.59      0.52      0.55        65
     opinion       0.82      0.96      0.88       253
   fake_news       0.60      0.07      0.13        42

    accuracy                           0.78       360
   macro avg       0.67      0.52      0.52       360
weighted avg       0.75      0.78      0.74       360
",0.5528455284552846,0.8836363636363638,0.1276595744680851
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.60      0.48      0.53        81
     opinion       0.74      0.92      0.82       232
   fake_news       0.57      0.09      0.15        47

    accuracy                           0.71       360
   macro avg       0.64      0.49      0.50       360
weighted avg       0.69      0.71      0.67       360
",0.5342465753424657,0.8192307692307692,0.1481481481481481
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.53      0.42      0.47        73
     opinion       0.77      0.93      0.84       240
   fake_news       0.83      0.21      0.34        47

    accuracy                           0.73       360
   macro avg       0.71      0.52      0.55       360
weighted avg       0.73      0.73      0.70       360
",0.4696969696969696,0.8393194706994329,0.3389830508474576
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.53      0.45      0.49        64
     opinion       0.79      0.93      0.85       248
   fake_news       0.91      0.21      0.34        48

    accuracy                           0.75       360
   macro avg       0.74      0.53      0.56       360
weighted avg       0.76      0.75      0.72       360
",0.4873949579831932,0.8523985239852397,0.3389830508474576
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.50      0.34      0.40        68
     opinion       0.77      0.93      0.84       244
   fake_news       0.71      0.25      0.37        48

    accuracy                           0.73       360
   macro avg       0.66      0.51      0.54       360
weighted avg       0.71      0.73      0.70       360
",0.4035087719298246,0.8428835489833642,0.3692307692307692
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.62      0.43      0.51        67
     opinion       0.79      0.95      0.86       250
   fake_news       0.90      0.21      0.34        43

    accuracy                           0.77       360
   macro avg       0.77      0.53      0.57       360
weighted avg       0.77      0.77      0.73       360
",0.5087719298245613,0.860759493670886,0.339622641509434
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.56      0.44      0.49        75
     opinion       0.74      0.93      0.82       227
   fake_news       0.79      0.19      0.31        58

    accuracy                           0.71       360
   macro avg       0.69      0.52      0.54       360
weighted avg       0.71      0.71      0.67       360
",0.4925373134328358,0.8249027237354085,0.3055555555555555
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.58      0.47      0.52        72
     opinion       0.74      0.94      0.83       236
   fake_news       0.50      0.04      0.07        52

    accuracy                           0.71       360
   macro avg       0.61      0.48      0.47       360
weighted avg       0.68      0.71      0.66       360
",0.5190839694656489,0.8292682926829268,0.0714285714285714
randomforest,False,False,"              precision    recall  f1-score   support

        news       0.48      0.45      0.46        65
     opinion       0.76      0.92      0.83       240
   fake_news       0.83      0.18      0.30        55

    accuracy                           0.72       360
   macro avg       0.69      0.51      0.53       360
weighted avg       0.72      0.72      0.68       360
",0.464,0.8333333333333334,0.2985074626865672
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.37      0.82      0.51        84
     opinion       0.87      0.57      0.69       229
   fake_news       0.38      0.19      0.25        47

    accuracy                           0.58       360
   macro avg       0.54      0.53      0.48       360
weighted avg       0.69      0.58      0.59       360
",0.5111111111111112,0.6860158311345647,0.2535211267605634
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.34      0.89      0.50        65
     opinion       0.95      0.62      0.75       253
   fake_news       0.28      0.17      0.21        42

    accuracy                           0.62       360
   macro avg       0.52      0.56      0.48       360
weighted avg       0.76      0.62      0.64       360
",0.4957264957264957,0.7494033412887828,0.208955223880597
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.39      0.84      0.53        81
     opinion       0.90      0.62      0.74       232
   fake_news       0.48      0.23      0.31        47

    accuracy                           0.62       360
   macro avg       0.59      0.57      0.53       360
weighted avg       0.73      0.62      0.64       360
",0.5291828793774318,0.737913486005089,0.3142857142857143
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.35      0.92      0.50        73
     opinion       0.91      0.52      0.66       240
   fake_news       0.38      0.23      0.29        47

    accuracy                           0.56       360
   macro avg       0.54      0.56      0.48       360
weighted avg       0.72      0.56      0.58       360
",0.50187265917603,0.6578249336870027,0.2894736842105263
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.32      0.84      0.46        64
     opinion       0.89      0.62      0.73       248
   fake_news       0.65      0.23      0.34        48

    accuracy                           0.61       360
   macro avg       0.62      0.56      0.51       360
weighted avg       0.75      0.61      0.63       360
",0.463519313304721,0.7298578199052134,0.3384615384615385
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.33      0.87      0.48        68
     opinion       0.88      0.57      0.69       244
   fake_news       0.52      0.27      0.36        48

    accuracy                           0.59       360
   macro avg       0.58      0.57      0.51       360
weighted avg       0.73      0.59      0.61       360
",0.4816326530612244,0.6915422885572139,0.3561643835616438
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.33      0.81      0.47        67
     opinion       0.87      0.61      0.72       250
   fake_news       0.50      0.23      0.32        43

    accuracy                           0.60       360
   macro avg       0.57      0.55      0.50       360
weighted avg       0.73      0.60      0.62       360
",0.4655172413793103,0.7200000000000001,0.3174603174603174
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.33      0.75      0.46        75
     opinion       0.84      0.63      0.72       227
   fake_news       0.55      0.19      0.28        58

    accuracy                           0.58       360
   macro avg       0.57      0.52      0.49       360
weighted avg       0.69      0.58      0.59       360
",0.4571428571428571,0.7204030226700252,0.282051282051282
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.32      0.86      0.47        72
     opinion       0.85      0.56      0.67       236
   fake_news       0.20      0.06      0.09        52

    accuracy                           0.54       360
   macro avg       0.46      0.49      0.41       360
weighted avg       0.65      0.54      0.55       360
",0.4714828897338404,0.6717948717948717,0.0895522388059701
randomforest,False,True,"              precision    recall  f1-score   support

        news       0.32      0.86      0.46        65
     opinion       0.88      0.56      0.68       240
   fake_news       0.42      0.24      0.30        55

    accuracy                           0.56       360
   macro avg       0.54      0.55      0.48       360
weighted avg       0.71      0.56      0.59       360
",0.4628099173553719,0.6836734693877551,0.3023255813953488
randomforest,True,False,"              precision    recall  f1-score   support

        news       0.53      0.60      0.56        84
     opinion       0.83      0.79      0.81       229
   fake_news       0.40      0.40      0.40        47

    accuracy                           0.70       360
   macro avg       0.59      0.60      0.59       360
weighted avg       0.71      0.70      0.70       360
",0.5617977528089887,0.8143176733780759,0.3999999999999999
randomforest,True,False,"              precision    recall  f1-score   support

        news       0.42      0.62      0.50        65
     opinion       0.90      0.77      0.83       253
   fake_news       0.29      0.33      0.31        42

    accuracy                           0.69       360
   macro avg       0.53      0.57      0.54       360
weighted avg       0.74      0.69      0.71       360
",0.5,0.8272921108742004,0.3076923076923076
randomforest,True,False,"              precision    recall  f1-score   support

        news       0.47      0.56      0.51        81
     opinion       0.86      0.77      0.81       232
   fake_news       0.33      0.40      0.37        47

    accuracy                           0.68       360
   macro avg       0.56      0.58      0.56       360
weighted avg       0.70      0.68      0.69       360
",0.5113636363636364,0.8136363636363637,0.3653846153846153
randomforest,True,False,"              precision    recall  f1-score   support

        news       0.45      0.63      0.52        73
     opinion       0.85      0.73      0.79       240
   fake_news       0.29      0.32      0.30        47

    accuracy                           0.66       360
   macro avg       0.53      0.56      0.54       360
weighted avg       0.70      0.66      0.67       360
",0.5227272727272727,0.7865168539325843,0.303030303030303
randomforest,True,False,"              precision    recall  f1-score   support

        news       0.44      0.61      0.51        64
     opinion       0.85      0.78      0.81       248
   fake_news       0.35      0.31      0.33        48

    accuracy                           0.69       360
   macro avg       0.54      0.57      0.55       360
weighted avg       0.71      0.69      0.69       360
",0.5098039215686275,0.8109243697478992,0.3296703296703296
randomforest,True,False,"              precision    recall  f1-score   support

        news       0.49      0.57      0.53        68
     opinion       0.85      0.79      0.82       244
   fake_news       0.37      0.42      0.39        48

    accuracy                           0.70       360
   macro avg       0.57      0.59      0.58       360
weighted avg       0.72      0.70      0.71       360
",0.5306122448979592,0.8195329087048832,0.392156862745098
randomforest,True,False,"              precision    recall  f1-score   support

        news       0.45      0.63      0.53        67
     opinion       0.85      0.76      0.80       250
   fake_news       0.39      0.40      0.39        43

    accuracy                           0.69       360
   macro avg       0.56      0.59      0.57       360
weighted avg       0.72      0.69      0.70       360
",0.525,0.8033826638477801,0.3908045977011494
