,Variable,Description,MDG
0,send,2254,0.019811766
1,ind,1308,0.018129265
2,ment,1577,0.017387604
3,tant,2367,0.013273238
4,acord,31,0.012521954
5,oferec,1726,0.01198081
6,dor,816,0.011903564
7,parc,1808,0.011722669
8,doi,806,0.011394107
9,men,1573,0.011162783
10,contr,577,0.010919135
11,aval,237,0.009524527
12,efici,843,0.009348952
13,poli,1893,0.009309459
14,estud,971,0.009245278
15,milh,1595,0.009215513
16,pais,1789,0.009099471
17,leit,1464,0.009040004
18,tal,2365,0.007679538
19,duvid,831,0.0075698392
